"Adresse","Indexierbarkeit","Indexierbarkeitsstatus","Crawltiefe","Link Score","Inlinks","Einzigartige Inlinks","Einzigartige JS-Inlinks","% von Gesamt","Outlinks","Einzigartige Outlinks","Einzigartige JS-Outlinks","Externe Outlinks","Einzigartige externe Outlinks","Einzigartige externe JS-Outlinks"
"https://www.delst.de/de/lexikon/b/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","297","278","0","10","10","0"
"https://www.delst.de/de/lexikon/ablauf-einer-gewerbeanmeldung/","Indexierbar","","2","","2","2","0","0,630","79","60","0","10","10","0"
"https://www.delst.de/de/lexikon/w/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","143","124","0","10","10","0"
"https://www.delst.de/de/lexikon/v/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","180","161","0","10","10","0"
"https://www.delst.de/de/lexikon/absatzkanaele/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/adware/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/r/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","199","180","0","10","10","0"
"https://www.delst.de/de/lexikon/n/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","142","123","0","10","10","0"
"https://www.delst.de/de/lexikon/aeuv/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/adaption/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/j/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","93","74","0","10","10","0"
"https://www.delst.de/de/lexikon/e/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","225","206","0","10","10","0"
"https://www.delst.de/de/lexikon/active-sourcing/","Indexierbar","","2","","2","2","0","0,630","81","62","0","10","10","0"
"https://www.delst.de/de/lexikon/a/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","319","300","0","10","10","0"
"https://www.delst.de/de/lexikon/abschreibungsmethoden/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/lexikon/z/","Nicht indexierbar","Canonicalised","2","","76","76","0","24,050","112","93","0","10","10","0"
"https://www.delst.de/de/lexikon/absatzwerbung/","Indexierbar","","2","","2","2","0","0,630","80","61","0","10","10","0"
"https://www.delst.de/de/news/tierheilpraktikerin-wird-futtermittelberaterin/","Indexierbar","","2","","1","1","0","0,320","57","36","0","10","10","0"
"https://www.delst.de/de/news/e-learning-projektmanager-buchbar/","Indexierbar","","2","","1","1","0","0,320","56","35","0","10","10","0"
"https://www.delst.de/de/news/kennst-du-antje-lehmann-benz/","Indexierbar","","2","","1","1","0","0,320","57","37","0","10","10","0"
"https://www.delst.de/de/news/kennst-du-alexander-toigo/","Indexierbar","","2","","1","1","0","0,320","56","35","0","10","10","0"
"https://www.delst.de/de/news/fernstudium-vs-praesenzstudium-welche-form-bevorzugen-arbeitgeber/","Indexierbar","","2","","1","1","0","0,320","62","38","0","11","11","0"
"https://www.delst.de/de/news/traumjob-betriebswirt/","Indexierbar","","2","","1","1","0","0,320","61","39","0","10","10","0"
"https://www.delst.de/de/news/erfolgsgeschichten-das-delst-sucht-eure-story/","Indexierbar","","2","","1","1","0","0,320","54","34","0","10","10","0"
"https://www.delst.de/de/news/e-commerce-manager-jetzt-buchbar/","Indexierbar","","2","","1","1","0","0,320","55","35","0","10","10","0"
"https://www.delst.de/de/news/kennst-du-sandra-leist/","Indexierbar","","2","","1","1","0","0,320","58","36","0","11","11","0"
"https://www.delst.de/de/news/ausbildung-der-ausbilder-anpassung-an-die-moderne-arbeitswelt/","Indexierbar","","2","","1","1","0","0,320","57","35","0","11","11","0"
"https://www.delst.de/de/news/fernstudientag-2023/","Indexierbar","","2","","1","1","0","0,320","54","34","0","11","11","0"
"https://www.delst.de/de/news/leidenschaft-fuer-pferde/","Indexierbar","","2","","1","1","0","0,320","57","36","0","10","10","0"
